net,length_um
net56,637.72
net13,586.93
net31,570.88
net11,546.065
net5,539.93
net58,523.22
net61,522.775
net3,514.45
net15,505.93
net167,499.67
net92,488.84
net82,488.52
net54,488.13
net60,472.9
net16,471.655
net98,460.82
net47,453.64
net38,453.22
net64,451.88
net25,446.95
net74,446.57
net23,443.38
net18,441.995
net1,439.16
net33,438.98
_1002_,437.88
net88,433.92
net83,432.67
net166,425.1
net67,422.35
net48,422.245
net51,414.56
net79,408.1
_1384_,405.255
net46,403.93
net21,399.68
net41,388.72
net57,383.92
_0226_,382.94
_3209_,381.69
_0445_,381.23
_2346_,380.24
net165,379.16
_0117_,379.13
_2412_,378
net4,375.2
_0434_,366.54
_3192_,364.83
net76,364.72
net10,363.61
_1778_,361.525
_3139_,360.2
_0707_,359.1
net59,355.07
net19,355.02
net36,354.85
_0357_,353.315
net75,353.28
_1942_,346.585
net30,345.86
_1909_,345.735
net86,345.16
_1056_,344.47
_2335_,343.5
net29,342.6
net73,341.78
_1963_,336.105
net69,334.82
net20,331.66
_2270_,331.58
_1756_,331.325
net39,328
_3305_,326.87
net12,326.54
_1067_,326.16
net8,325.87
_1034_,325.055
_2401_,324.76
net2,320.46
_2182_,319.92
net43,318.37
_2784_,313.57
net53,312.72
_1810_,310.76
_1821_,310.465
net99,310
net78,306.33
net44,305.71
net45,304.45
_1876_,303.835
net17,303.65
_0477_,303.13
_0862_,302.095
net32,301.88
net22,300.84
net81,299.38
net40,295.64
net35,295.55
net70,293.46
net62,288.99
_3197_,288.85
_0281_,288.4
net28,288.38
net26,288.1
_2675_,286.87
_0466_,285.31
_2007_,285.22
_2138_,281.53
_2456_,281.23
net63,280.67
net37,275.95
_3388_,274.54
_2051_,273.81
_0205_,272.515
net9,271.76
_2445_,270.67
net55,270.1
net94,269.85
_0106_,269.375
_2237_,268.69
_2587_,265.82
_3125_,265.68
_1023_,265.24
net80,265.2
_3137_,262.44
_1275_,262.045
_1045_,259.21
_3272_,256.865
_3596_,253.7
_1865_,253.32
_2664_,249.68
_0739_,243.085
_2565_,239.19
net66,238.86
_2609_,238.06
_2127_,237.94
net52,236.9
_0320_,236.5
_2018_,235.81
_3571_,235.58
_2510_,234.52
_2751_,234.44
_2881_,233.58
_0215_,233.28
net6,232.655
net27,232.08
_2499_,231.96
_2543_,230.58
_2379_,230.385
_0181_,229.33
_0401_,229.29
net50,228.46
_2707_,228.16
_2423_,224.76
_3573_,223.27
_2740_,222.7
_2215_,222.53
_2696_,220.98
_0335_,219.885
net96,219.64
_1898_,218.41
_3133_,217.245
net100,216.78
_2259_,216.15
_3530_,213.92
_3719_,213.74
_1887_,213.62
_2390_,213.56
_3620_,213.165
_2653_,211.7
net49,211.17
_0499_,210.93
_3271_,209.33
_3644_,207.44
_3128_,207.35
_2171_,206.61
net77,206.185
_3135_,205.275
_2718_,204.52
_3213_,203.27
_2204_,203.115
_1434_,202.68
net71,202.54
_3712_,202.26
_2892_,202.065
_0194_,201.96
_3134_,200.845
_2762_,200.22
_2324_,199.73
_3425_,197.83
_0419_,197.565
_0303_,197.52
_3631_,197.415
_2925_,196.75
_3386_,196.24
_0247_,195.65
_1428_,195.01
_0575_,194.62
_0063_,193.04
_2598_,192.865
_0292_,192.8
_0041_,192.42
_2160_,192.225
net7,191.64
_3645_,191.38
_0838_,190.73
_0309_,190.63
_2980_,190.32
_0172_,190.28
net34,189.22
_0969_,188.86
_3709_,188.79
_0991_,187.88
_0652_,187.34
_3531_,185.92
_3633_,185.4
_1262_,184.66
_3589_,184.42
net42,183.38
_0558_,182.495
_3285_,181.68
_1008_,180.98
_2686_,180.3
net14,179.8
_1619_,179.76
_3046_,179.52
_1608_,178.33
_0161_,177.2
_2532_,176.255
_1620_,176
_0183_,175.78
_0328_,175.62
_1170_,175.29
_3490_,175.25
_2642_,174.37
_0688_,174.08
_0863_,173.37
net68,172.22
_3242_,172.18
_0042_,171.835
net97,170.8
_3196_,170.67
_0346_,170.37
_3352_,170.3
_0571_,170.28
_3156_,170.24
net89,170.24
_2106_,169.97
_0587_,169.66
_0110_,169.55
_3385_,168.975
_2149_,167.865
_1998_,167.78
_0380_,166.88
_3126_,166.69
_1854_,166.55
_2489_,166.49
_0980_,166.44
net65,165.92
_0293_,164.56
_3591_,164.25
_0324_,164.14
net84,162.9
_3161_,162.825
net91,162.82
_0947_,162.76
_3430_,162.455
_1623_,162.41
_0373_,162.22
_1605_,161.99
_3200_,160.3
_3424_,160.1
_3097_,159.48
_1594_,159.04
_3632_,158.84
_2263_,158.73
_0095_,158.515
net93,158.06
_0199_,157.3
_1597_,157
_0438_,156.96
_1005_,156.72
_0314_,156.595
_2029_,156.42
_3440_,155.95
_1264_,155.23
_1445_,155.16
_1152_,154.64
_0554_,154.245
_0100_,153.1
_0859_,152.54
_3414_,152.065
net72,151.4
_0864_,151.15
_1724_,150.86
_0491_,150.575
_2102_,150.32
_0860_,150.28
_2434_,150.14
_1293_,149.96
_2773_,149.36
_3194_,149.265
_2105_,148.76
_0716_,148.18
_3176_,148.01
_2117_,147.985
_3619_,147.575
_0454_,146.93
_1448_,146.745
_3442_,145.64
_0849_,145.16
_1789_,144.2
_1753_,143.83
_0850_,143.5
_0337_,143.48
_0085_,143.2
_0196_,143.17
_2126_,143.08
_3228_,142.99
_0722_,142.85
_1797_,141.65
_1004_,141.26
net24,141.1
_0390_,140.94
_2576_,140.88
_3699_,140.24
_3131_,140.16
_0220_,139.88
_3537_,139.825
_2302_,139.66
_0869_,139.58
_2467_,139.32
_2368_,138.065
_3273_,137.43
_3722_,136.795
_2313_,136.645
_2062_,136.38
_1949_,136.23
_3651_,135.84
_3301_,135.74
_0573_,135.335
_3198_,135.28
_0918_,135.14
_3163_,134.53
_1925_,133.87
_2274_,133.84
_0654_,133.66
_3077_,133.48
_0875_,133.26
_3431_,133.1
_3486_,132.88
_3512_,132.7
_3685_,131.51
_3422_,131.26
_3515_,131.18
_3343_,131.14
_3635_,130.895
_1169_,130.52
_2248_,130.205
_0488_,130.02
_0698_,129.43
_1294_,129.38
_2009_,129.035
_0222_,128.62
_3513_,128.05
_0854_,127.955
_2226_,127.955
_0521_,126.64
_0855_,126.565
_3204_,126.015
_0723_,124.735
_0327_,124.285
_0892_,123.75
_1723_,123.16
_0270_,123.14
_3087_,123.12
_2903_,122.53
_2326_,122.48
_3201_,122.14
_0000_,121.68
_1130_,121.18
_3404_,121.18
_0734_,121.08
_1566_,120.94
_3585_,120.81
_3195_,120.72
_0783_,119.37
_2299_,119.35
_3452_,118.92
_0689_,118.68
_1131_,118.68
_0903_,118.36
_0122_,118.3
_0319_,118.28
_3605_,116.52
_0087_,116.42
_3451_,116.42
_1209_,116.31
_1295_,116.06
_0591_,115.68
_3511_,115.57
_0330_,115.05
_0127_,114.56
_1277_,114.2
_3144_,114.04
_1100_,113.95
_2197_,113.9
_3493_,112.35
net163,111.92
_0696_,111.68
_3265_,111.32
_1007_,111.09
_2024_,110.64
_2239_,110.18
_0559_,109.375
_3433_,109.12
_0105_,108.98
_1873_,108.92
_0104_,108.915
_2521_,108.4
net162,108.03
_3423_,107.76
_1931_,107.75
_3517_,107.66
_1712_,107.54
_3118_,107.51
_3572_,107.23
_2013_,107.14
_1952_,105.96
_1734_,105.9
_1122_,105.88
_1012_,105.84
_1863_,105.78
_0925_,105.17
_0584_,105.11
_2023_,105.1
net124,104.89
_0099_,104.69
_0583_,104.11
_2241_,103.56
_2095_,103.46
_0453_,102.86
_3270_,102.8
_0861_,102.7
_1187_,102.615
_0444_,102.26
net101,102.18
_0848_,102.11
_3119_,102
_3448_,101.76
_3410_,100.78
_3717_,100.66
_0942_,100.37
_1698_,99.54
_0189_,98.66
_0412_,98.62
_0212_,98.26
_1799_,97.78
_0866_,97.68
_0038_,97.55
_0018_,97.02
_2046_,96.65
_0936_,96.54
_0423_,96.265
_3608_,96.02
_3718_,95.815
_0641_,95.66
_2487_,95.18
_0219_,95
_3303_,94.82
_3503_,94.55
_0344_,93.94
_3449_,93.88
_3623_,93.3
_0052_,92.96
_0870_,92.74
_2802_,92.7
_1905_,92.61
_2693_,92.16
